Latitude,Longitude,Elevation,Name
-77.65899999999999,168.141,-4.741,Channel 0
-77.65894763897874,168.1410866884135,-4.823507575757575,Channel 1
-77.65889527792953,168.14117337610097,-4.9060151515151516,Channel 2
-77.65884291685242,168.14126006306222,-4.988522727272727,Channel 3
-77.65879055574733,168.14134674929738,-5.0710303030303026,Channel 4
-77.65873819461434,168.14143343480643,-5.153537878787878,Channel 5
-77.6586858334534,168.14152011958936,-5.2360454545454544,Channel 6
-77.65863347226454,168.1416068036462,-5.31855303030303,Channel 7
-77.65858111104777,168.14169348697698,-5.4010606060606055,Channel 8
-77.65852874980301,168.14178016958166,-5.483568181818182,Channel 9
-77.65847638853036,168.1418668514603,-5.566075757575757,Channel 10
-77.65842402722976,168.14195353261286,-5.648583333333333,Channel 11
-77.65837166590123,168.14204021303937,-5.731090909090908,Channel 12
-77.65831930454479,168.14212689273984,-5.813598484848485,Channel 13
-77.6582669431604,168.14221357171428,-5.89610606060606,Channel 14
-77.6582145817481,168.1423002499627,-5.978613636363636,Channel 15
-77.65816222030786,168.14238692748506,-6.061121212121211,Channel 16
-77.65810985883968,168.14247360428146,-6.143628787878788,Channel 17
-77.65805749734358,168.14256028035186,-6.226136363636363,Channel 18
-77.65800513581958,168.14264695569625,-6.308643939393939,Channel 19
-77.65795277426763,168.1427336303147,-6.391151515151515,Channel 20
-77.65790041268774,168.14282030420716,-6.4736590909090905,Channel 21
-77.65784805107994,168.14290697737366,-6.556166666666666,Channel 22
-77.6577956894442,168.14299364981423,-6.638674242424242,Channel 23
-77.65774332778055,168.14308032152883,-6.721181818181818,Channel 24
-77.65769096608896,168.14316699251748,-6.803689393939393,Channel 25
-77.65763860436944,168.14325366278024,-6.88619696969697,Channel 26
-77.657586242622,168.14334033231708,-6.968704545454544,Channel 27
-77.65753388084666,168.143427001128,-7.051212121212121,Channel 28
-77.65748151904337,168.14351366921304,-7.133719696969696,Channel 29
-77.65742915721215,168.14360033657215,-7.216227272727272,Channel 30
-77.65737679535303,168.1436870032054,-7.298734848484848,Channel 31
-77.65732443346596,168.1437736691128,-7.381242424242424,Channel 32
-77.65727207155099,168.14386033429432,-7.463749999999999,Channel 33
-77.65721970960811,168.14394699874998,-7.546257575757576,Channel 34
-77.65716734763726,168.1440336624798,-7.628765151515151,Channel 35
-77.65711498563851,168.1441203254838,-7.711272727272727,Channel 36
-77.65706262361186,168.14420698776195,-7.793780303030303,Channel 37
-77.65701026155725,168.14429364931428,-7.876287878787878,Channel 38
-77.65695789947475,168.1443803101408,-7.958795454545454,Channel 39
-77.65690553736434,168.14446697024152,-8.04130303030303,Channel 40
-77.65685317522598,168.1445536296165,-8.123810606060605,Channel 41
-77.6568008130597,168.14464028826566,-8.206318181818181,Channel 42
-77.65674845086554,168.14472694618902,-8.288825757575758,Channel 43
-77.65669608864341,168.14481360338667,-8.371333333333332,Channel 44
-77.6566437263934,168.1449002598585,-8.453840909090909,Channel 45
-77.65659136411543,168.14498691560465,-8.536348484848485,Channel 46
-77.65653900180958,168.14507357062502,-8.61885606060606,Channel 47
-77.6564866394758,168.14516022491966,-8.701363636363636,Channel 48
-77.6564342771141,168.1452468784886,-8.783871212121213,Channel 49
-77.65638191472449,168.1453335313318,-8.866378787878787,Channel 50
-77.65632955230696,168.14542018344932,-8.948886363636362,Channel 51
-77.65627718986154,168.14550683484114,-9.03139393939394,Channel 52
-77.65622482738816,168.14559348550728,-9.113901515151515,Channel 53
-77.65617246488688,168.14568013544772,-9.19640909090909,Channel 54
-77.65612010235768,168.14576678466253,-9.278916666666666,Channel 55
-77.65606773980056,168.14585343315167,-9.361424242424242,Channel 56
-77.65601537721555,168.14594008091515,-9.443931818181817,Channel 57
-77.6559630146026,168.146026727953,-9.526439393939393,Channel 58
-77.65591065196175,168.14611337426524,-9.60894696969697,Channel 59
-77.655858289293,168.14620001985182,-9.691454545454544,Channel 60
-77.6558059265963,168.1462866647128,-9.77396212121212,Channel 61
-77.65575356387174,168.14637330884818,-9.856469696969697,Channel 62
-77.65570120111923,168.14645995225797,-9.938977272727271,Channel 63
-77.65564883833882,168.14654659494215,-10.021484848484848,Channel 64
-77.6555964755305,168.14663323690075,-10.103992424242424,Channel 65
-77.65554411269426,168.1467198781338,-10.186499999999999,Channel 66
-77.6554917498301,168.14680651864128,-10.269007575757575,Channel 67
-77.65543938693806,168.14689315842324,-10.351515151515152,Channel 68
-77.65538702401808,168.14697979747962,-10.434022727272726,Channel 69
-77.6553346610702,168.1470664358105,-10.516530303030303,Channel 70
-77.65528229809443,168.1471530734158,-10.599037878787879,Channel 71
-77.65522993509073,168.14723971029565,-10.681545454545454,Channel 72
-77.65517757205912,168.14732634644997,-10.76405303030303,Channel 73
-77.6551252089996,168.14741298187877,-10.846560606060606,Channel 74
-77.6550728459122,168.1474996165821,-10.929068181818181,Channel 75
-77.65502048279689,168.14758625055995,-11.011575757575756,Channel 76
-77.65496811965363,168.14767288381233,-11.094083333333334,Channel 77
-77.6549157564825,168.14775951633922,-11.176590909090908,Channel 78
-77.65486339328343,168.1478461481407,-11.259098484848483,Channel 79
-77.65481103005648,168.14793277921672,-11.34160606060606,Channel 80
-77.65475866680163,168.1480194095673,-11.424113636363636,Channel 81
-77.65470630351885,168.14810603919247,-11.50662121212121,Channel 82
-77.65465394020818,168.1481926680922,-11.589128787878787,Channel 83
-77.65460157686962,168.1482792962665,-11.671636363636363,Channel 84
-77.65454921350315,168.14836592371546,-11.754143939393938,Channel 85
-77.65449685010877,168.148452550439,-11.836651515151514,Channel 86
-77.65444448668647,168.14853917643714,-11.91915909090909,Channel 87
-77.65439212323626,168.14862580170995,-12.001666666666665,Channel 88
-77.65433975975817,168.14871242625736,-12.084174242424242,Channel 89
-77.65428739625222,168.14879905007942,-12.166681818181818,Channel 90
-77.65423503271829,168.14888567317615,-12.249189393939393,Channel 91
-77.6541826691565,168.14897229554754,-12.331696969696969,Channel 92
-77.65413030556678,168.1490589171936,-12.414204545454545,Channel 93
-77.65407794194918,168.1491455381143,-12.49671212121212,Channel 94
-77.65402557830367,168.14923215830973,-12.579219696969696,Channel 95
-77.6539732146303,168.14931877777985,-12.661727272727273,Channel 96
-77.65392085092898,168.1494053965247,-12.744234848484847,Channel 97
-77.65386848719976,168.14949201454425,-12.826742424242424,Channel 98
-77.65381612344268,168.1495786318385,-12.909249999999998,Channel 99
-77.65376375965766,168.1496652484075,-12.991757575757575,Channel 100
-77.65371139584475,168.14975186425124,-13.074265151515151,Channel 101
-77.65365903200397,168.14983847936975,-13.156772727272726,Channel 102
-77.65360666813527,168.14992509376302,-13.239280303030302,Channel 103
-77.65355430423868,168.15001170743102,-13.321787878787879,Channel 104
-77.65350194031419,168.15009832037384,-13.404295454545453,Channel 105
-77.65344957636181,168.15018493259143,-13.48680303030303,Channel 106
-77.65339721238152,168.15027154408384,-13.569310606060606,Channel 107
-77.65334484837335,168.150358154851,-13.65181818181818,Channel 108
-77.65329248433727,168.15044476489302,-13.734325757575757,Channel 109
-77.65324012027331,168.15053137420986,-13.816833333333332,Channel 110
-77.65318775618141,168.15061798280152,-13.899340909090908,Channel 111
-77.65313539206166,168.15070459066803,-13.981848484848484,Channel 112
-77.65308302791401,168.15079119780935,-14.064356060606059,Channel 113
-77.65303066373843,168.15087780422556,-14.146863636363635,Channel 114
-77.65297829953501,168.15096440991664,-14.229371212121212,Channel 115
-77.65292593530367,168.1510510148826,-14.311878787878786,Channel 116
-77.65287357104444,168.15113761912343,-14.394386363636363,Channel 117
-77.65282120675732,168.15122422263917,-14.476893939393939,Channel 118
-77.6527688424423,168.1513108254298,-14.559401515151514,Channel 119
-77.6527164780994,168.15139742749534,-14.64190909090909,Channel 120
-77.6526641137286,168.15148402883582,-14.724416666666666,Channel 121
-77.65261174932992,168.15157062945121,-14.806924242424241,Channel 122
-77.65255938490334,168.15165722934157,-14.889431818181817,Channel 123
-77.65250702044887,168.15174382850682,-14.971939393939392,Channel 124
-77.65245465596651,168.15183042694707,-15.054446969696968,Channel 125
-77.65240229145624,168.15191702466228,-15.136954545454545,Channel 126
-77.65234992691813,168.15200362165245,-15.21946212121212,Channel 127
-77.6522975623521,168.15209021791762,-15.301969696969696,Channel 128
-77.65224519775816,168.15217681345777,-15.384477272727272,Channel 129
-77.65219283313637,168.15226340827294,-15.466984848484847,Channel 130
-77.65214046848668,168.15235000236308,-15.549492424242423,Channel 131
-77.65208810380909,168.15243659572826,-15.632,Channel 132
-77.65208810380909,168.15243659572826,-15.632,Channel 133
-77.65207483461553,168.15257456203952,-15.723666666666666,Channel 134
-77.65206156535237,168.1527125280595,-15.815333333333333,Channel 135
-77.65204829601963,168.15285049378824,-15.907,Channel 136
-77.65204829601963,168.15285049378824,-15.907,Channel 137
-77.65206988203178,168.15312788753366,-15.919654545454545,Channel 138
-77.65209146776377,168.1534052822363,-15.932309090909092,Channel 139
-77.65211305321547,168.15368267789617,-15.944963636363637,Channel 140
-77.65213463838697,168.1539600745133,-15.957618181818182,Channel 141
-77.65215622327824,168.1542374720876,-15.970272727272727,Channel 142
-77.65217780788927,168.15451487061915,-15.982927272727274,Channel 143
-77.65219939222006,168.1547922701079,-15.995581818181819,Channel 144
-77.65222097627061,168.15506967055384,-16.008236363636364,Channel 145
-77.65224256004093,168.15534707195695,-16.02089090909091,Channel 146
-77.65226414353106,168.15562447431725,-16.033545454545454,Channel 147
-77.6522857267409,168.15590187763476,-16.0462,Channel 148
-77.65230730967052,168.1561792819094,-16.058854545454547,Channel 149
-77.65232889231987,168.1564566871412,-16.071509090909093,Channel 150
-77.652350474689,168.1567340933302,-16.084163636363638,Channel 151
-77.6523720567779,168.1570115004763,-16.096818181818183,Channel 152
-77.65239363858653,168.15728890857952,-16.109472727272728,Channel 153
-77.65241522011493,168.1575663176399,-16.122127272727273,Channel 154
-77.65243680136307,168.1578437276574,-16.134781818181818,Channel 155
-77.65245838233095,168.15812113863197,-16.147436363636363,Channel 156
-77.65247996301859,168.15839855056367,-16.16009090909091,Channel 157
