4.318213590842126869e+05,1.377997587722489610e+06,-4.740999999999999659e+00
4.318231403039096622e+05,1.378003525275519816e+06,-4.823507575757575161e+00
4.318249215236066375e+05,1.378009462828550255e+06,-4.906015151515151551e+00
4.318267027433036128e+05,1.378015400381580461e+06,-4.988522727272727053e+00
4.318284839630005881e+05,1.378021337934610900e+06,-5.071030303030302555e+00
4.318302651826975634e+05,1.378027275487641105e+06,-5.153537878787878057e+00
4.318320464023944805e+05,1.378033213040671311e+06,-5.236045454545454447e+00
4.318338276220914559e+05,1.378039150593701750e+06,-5.318553030303029949e+00
4.318356088417884312e+05,1.378045088146731956e+06,-5.401060606060605451e+00
4.318373900614854065e+05,1.378051025699762395e+06,-5.483568181818181841e+00
4.318391712811823818e+05,1.378056963252792601e+06,-5.566075757575757343e+00
4.318409525008793571e+05,1.378062900805823039e+06,-5.648583333333332845e+00
4.318427337205763324e+05,1.378068838358853245e+06,-5.731090909090908347e+00
4.318445149402733077e+05,1.378074775911883451e+06,-5.813598484848484738e+00
4.318462961599702830e+05,1.378080713464913890e+06,-5.896106060606060240e+00
4.318480773796672584e+05,1.378086651017944096e+06,-5.978613636363635742e+00
4.318498585993641755e+05,1.378092588570974534e+06,-6.061121212121211244e+00
4.318516398190611508e+05,1.378098526124004740e+06,-6.143628787878787634e+00
4.318534210387581261e+05,1.378104463677035179e+06,-6.226136363636363136e+00
4.318552022584551014e+05,1.378110401230065385e+06,-6.308643939393938638e+00
4.318569834781520767e+05,1.378116338783095591e+06,-6.391151515151515028e+00
4.318587646978490520e+05,1.378122276336126029e+06,-6.473659090909090530e+00
4.318605459175460273e+05,1.378128213889156235e+06,-6.556166666666666032e+00
4.318623271372430027e+05,1.378134151442186674e+06,-6.638674242424242422e+00
4.318641083569399780e+05,1.378140088995216880e+06,-6.721181818181817924e+00
4.318658895766369533e+05,1.378146026548247086e+06,-6.803689393939393426e+00
4.318676707963338704e+05,1.378151964101277525e+06,-6.886196969696969816e+00
4.318694520160308457e+05,1.378157901654307730e+06,-6.968704545454544430e+00
4.318712332357278210e+05,1.378163839207338169e+06,-7.051212121212120820e+00
4.318730144554247963e+05,1.378169776760368375e+06,-7.133719696969696322e+00
4.318747956751217716e+05,1.378175714313398581e+06,-7.216227272727271824e+00
4.318765768948187470e+05,1.378181651866429020e+06,-7.298734848484848214e+00
4.318783581145157223e+05,1.378187589419459226e+06,-7.381242424242423716e+00
4.318801393342126976e+05,1.378193526972489664e+06,-7.463749999999999218e+00
4.318819205539096729e+05,1.378199464525519870e+06,-7.546257575757575609e+00
4.318837017736066482e+05,1.378205402078550309e+06,-7.628765151515151111e+00
4.318854829933035653e+05,1.378211339631580515e+06,-7.711272727272726613e+00
4.318872642130005406e+05,1.378217277184610721e+06,-7.793780303030303003e+00
4.318890454326975159e+05,1.378223214737641159e+06,-7.876287878787877617e+00
4.318908266523944912e+05,1.378229152290671365e+06,-7.958795454545454007e+00
4.318926078720914666e+05,1.378235089843701804e+06,-8.041303030303030397e+00
4.318943890917884419e+05,1.378241027396732010e+06,-8.123810606060605011e+00
4.318961703114854172e+05,1.378246964949762449e+06,-8.206318181818181401e+00
4.318979515311823925e+05,1.378252902502792655e+06,-8.288825757575757791e+00
4.318997327508793678e+05,1.378258840055822860e+06,-8.371333333333332405e+00
4.319015139705763431e+05,1.378264777608853299e+06,-8.453840909090908795e+00
4.319032951902732602e+05,1.378270715161883505e+06,-8.536348484848485185e+00
4.319050764099702355e+05,1.378276652714913944e+06,-8.618856060606059799e+00
4.319068576296672109e+05,1.378282590267944150e+06,-8.701363636363636189e+00
4.319086388493641862e+05,1.378288527820974356e+06,-8.783871212121212579e+00
4.319104200690611615e+05,1.378294465374004794e+06,-8.866378787878787193e+00
4.319122012887581368e+05,1.378300402927035000e+06,-8.948886363636361807e+00
4.319139825084551121e+05,1.378306340480065439e+06,-9.031393939393939974e+00
4.319157637281520874e+05,1.378312278033095645e+06,-9.113901515151514587e+00
4.319175449478490627e+05,1.378318215586125851e+06,-9.196409090909089201e+00
4.319193261675460381e+05,1.378324153139156289e+06,-9.278916666666665591e+00
4.319211073872429552e+05,1.378330090692186495e+06,-9.361424242424241982e+00
4.319228886069399305e+05,1.378336028245216934e+06,-9.443931818181816595e+00
4.319246698266369058e+05,1.378341965798247140e+06,-9.526439393939392986e+00
4.319264510463338811e+05,1.378347903351277579e+06,-9.608946969696969376e+00
4.319282322660308564e+05,1.378353840904307785e+06,-9.691454545454543990e+00
4.319300134857278317e+05,1.378359778457337990e+06,-9.773962121212120380e+00
4.319317947054248070e+05,1.378365716010368429e+06,-9.856469696969696770e+00
4.319335759251217823e+05,1.378371653563398635e+06,-9.938977272727271384e+00
4.319353571448187577e+05,1.378377591116429074e+06,-1.002148484848484777e+01
4.319371383645157330e+05,1.378383528669459280e+06,-1.010399242424242416e+01
4.319389195842127083e+05,1.378389466222489718e+06,-1.018649999999999878e+01
4.319407008039096254e+05,1.378395403775519924e+06,-1.026900757575757517e+01
4.319424820236066007e+05,1.378401341328550130e+06,-1.035151515151515156e+01
4.319442632433035760e+05,1.378407278881580569e+06,-1.043402272727272617e+01
4.319460444630005513e+05,1.378413216434610775e+06,-1.051653030303030256e+01
4.319478256826975266e+05,1.378419153987641213e+06,-1.059903787878787895e+01
4.319496069023945020e+05,1.378425091540671419e+06,-1.068154545454545357e+01
4.319513881220914773e+05,1.378431029093701625e+06,-1.076405303030302996e+01
4.319531693417884526e+05,1.378436966646732064e+06,-1.084656060606060635e+01
4.319549505614854279e+05,1.378442904199762270e+06,-1.092906818181818096e+01
4.319567317811824032e+05,1.378448841752792709e+06,-1.101157575757575557e+01
4.319585130008793203e+05,1.378454779305822914e+06,-1.109408333333333374e+01
4.319602942205762956e+05,1.378460716858853120e+06,-1.117659090909090835e+01
4.319620754402732709e+05,1.378466654411883559e+06,-1.125909848484848297e+01
4.319638566599702463e+05,1.378472591964913765e+06,-1.134160606060605936e+01
4.319656378796672216e+05,1.378478529517944204e+06,-1.142411363636363575e+01
4.319674190993641969e+05,1.378484467070974410e+06,-1.150662121212121036e+01
4.319692003190611722e+05,1.378490404624004848e+06,-1.158912878787878675e+01
4.319709815387581475e+05,1.378496342177035054e+06,-1.167163636363636314e+01
4.319727627584551228e+05,1.378502279730065260e+06,-1.175414393939393776e+01
4.319745439781520981e+05,1.378508217283095699e+06,-1.183665151515151415e+01
4.319763251978490152e+05,1.378514154836125905e+06,-1.191915909090909054e+01
4.319781064175459906e+05,1.378520092389156343e+06,-1.200166666666666515e+01
4.319798876372429659e+05,1.378526029942186549e+06,-1.208417424242424154e+01
4.319816688569399412e+05,1.378531967495216988e+06,-1.216668181818181793e+01
4.319834500766369165e+05,1.378537905048247194e+06,-1.224918939393939255e+01
4.319852312963338918e+05,1.378543842601277400e+06,-1.233169696969696894e+01
4.319870125160308671e+05,1.378549780154307839e+06,-1.241420454545454533e+01
4.319887937357278424e+05,1.378555717707338044e+06,-1.249671212121211994e+01
4.319905749554248177e+05,1.378561655260368483e+06,-1.257921969696969633e+01
4.319923561751217931e+05,1.378567592813398689e+06,-1.266172727272727272e+01
4.319941373948187102e+05,1.378573530366428895e+06,-1.274423484848484733e+01
4.319959186145156855e+05,1.378579467919459334e+06,-1.282674242424242372e+01
4.319976998342126608e+05,1.378585405472489540e+06,-1.290924999999999834e+01
4.319994810539096361e+05,1.378591343025519978e+06,-1.299175757575757473e+01
4.320012622736066114e+05,1.378597280578550184e+06,-1.307426515151515112e+01
4.320030434933035867e+05,1.378603218131580390e+06,-1.315677272727272573e+01
4.320048247130005620e+05,1.378609155684610829e+06,-1.323928030303030212e+01
4.320066059326975374e+05,1.378615093237641035e+06,-1.332178787878787851e+01
4.320083871523945127e+05,1.378621030790671473e+06,-1.340429545454545313e+01
4.320101683720914880e+05,1.378626968343701679e+06,-1.348680303030302952e+01
4.320119495917884051e+05,1.378632905896732118e+06,-1.356931060606060591e+01
4.320137308114853804e+05,1.378638843449762324e+06,-1.365181818181818052e+01
4.320155120311823557e+05,1.378644781002792530e+06,-1.373432575757575691e+01
4.320172932508793310e+05,1.378650718555822968e+06,-1.381683333333333152e+01
4.320190744705763063e+05,1.378656656108853174e+06,-1.389934090909090791e+01
4.320208556902732817e+05,1.378662593661883613e+06,-1.398184848484848430e+01
4.320226369099702570e+05,1.378668531214913819e+06,-1.406435606060605892e+01
4.320244181296672323e+05,1.378674468767944258e+06,-1.414686363636363531e+01
4.320261993493642076e+05,1.378680406320974464e+06,-1.422937121212121170e+01
4.320279805690611829e+05,1.378686343874004669e+06,-1.431187878787878631e+01
4.320297617887581000e+05,1.378692281427035108e+06,-1.439438636363636270e+01
4.320315430084550753e+05,1.378698218980065314e+06,-1.447689393939393909e+01
4.320333242281520506e+05,1.378704156533095753e+06,-1.455940151515151371e+01
4.320351054478490259e+05,1.378710094086125959e+06,-1.464190909090909010e+01
4.320368866675460013e+05,1.378716031639156165e+06,-1.472441666666666649e+01
4.320386678872429766e+05,1.378721969192186603e+06,-1.480692424242424110e+01
4.320404491069399519e+05,1.378727906745216809e+06,-1.488943181818181749e+01
4.320422303266369272e+05,1.378733844298247248e+06,-1.497193939393939210e+01
4.320440115463339025e+05,1.378739781851277454e+06,-1.505444696969696849e+01
4.320457927660308778e+05,1.378745719404307660e+06,-1.513695454545454488e+01
4.320475739857277949e+05,1.378751656957338098e+06,-1.521946212121211950e+01
4.320493552054247702e+05,1.378757594510368304e+06,-1.530196969696969589e+01
4.320511364251217456e+05,1.378763532063398743e+06,-1.538447727272727228e+01
4.320529176448187209e+05,1.378769469616428949e+06,-1.546698484848484689e+01
4.320546988645156962e+05,1.378775407169459388e+06,-1.554949242424242328e+01
4.320564800842126715e+05,1.378781344722489594e+06,-1.563199999999999967e+01
4.320564800842126715e+05,1.378781344722489594e+06,-1.563199999999999967e+01
4.320596980842126650e+05,1.378782983722489560e+06,-1.572366666666666646e+01
4.320629160842126585e+05,1.378784622722489526e+06,-1.581533333333333324e+01
4.320661340842126519e+05,1.378786261722489493e+06,-1.590700000000000003e+01
